Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,NC,C_0603_1608Metric,167.325,-94.75,90.0,top
C10,18pF,C_0603_1608Metric,161.616039,-95.651558,0.0,top
C11,1.1uF,C_0603_1608Metric,159.19,-86.775,90.0,top
C12,100nF,C_0603_1608Metric,177.279,-102.108,180.0,top
C13,100nF,C_0603_1608Metric,166.992,-108.6612,180.0,top
C14,1.0pF,C_0603_1608Metric,144.481665,-87.265463,180.0,top
C15,1.2pF,C_0603_1608Metric,144.5,-92.925,180.0,top
C16,10u,C_0603_1608Metric,150.925,-90.15,90.0,top
C17,1u,C_0603_1608Metric,154.0,-90.15,90.0,top
C18,100n,C_0603_1608Metric,157.1,-90.175,90.0,top
C19,100n,C_0603_1608Metric,160.425,-90.175,90.0,top
C2,NC,C_0603_1608Metric,165.2945,-94.770361,90.0,top
C20,100n,C_0603_1608Metric,138.2646,-123.1646,180.0,top
C21,100n,C_0603_1608Metric,167.375,-98.225,90.0,top
C22,4.7u,C_0603_1608Metric,165.3,-98.225,90.0,top
C3,1u,C_0603_1608Metric,153.271211,-86.790406,90.0,top
C4,100nF,C_0603_1608Metric,148.533292,-86.804193,90.0,top
C5,100n,C_0603_1608Metric,172.275,-102.05,180.0,top
C6,1uF,C_0603_1608Metric,172.275,-100.425,180.0,top
C7,22uF,C_0603_1608Metric,183.05,-92.075,-90.0,top
C8,22uF,C_0603_1608Metric,186.047429,-92.093662,90.0,top
C9,18pF,C_0603_1608Metric,161.648843,-92.758984,0.0,top
CR1,~,CR2450_SUPORT,150.775,-96.76,0.0,bottom
CR2,~,CR2450_SUPORT,173.5,-101.895,180.0,bottom
D1,BAT760,SOD323_F_,178.95,-80.1,0.0,top
D2,LED GREEN,LED_1206_3216Metric,182.425,-79.35,-90.0,top
D4,BAT760,SOD323_F_,177.28,-92.07,-90.0,top
D5,SK6812,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,146.7,-116.77,180.0,top
F2,600Ω,L_0805_2012Metric,144.6375,-95.875,0.0,top
J1,USB_B,CUI_UJ2-BV-1-TH,170.72,-83.342,0.0,top
J2,Screw_Terminal_01x08,TerminalBlock_MaiXu_MX126-5.0-08P_1x08_P5.00mm,162.625,-124.45,0.0,top
L1,2.7nH,L_0805_2012Metric,147.625,-90.2125,90.0,top
R1,0Ω,R_0603_1608Metric,167.3,-91.3,-90.0,top
R10,0Ω,R_0603_1608Metric,172.275,-106.95,180.0,top
R11,0Ω,R_0603_1608Metric,172.265163,-105.343128,180.0,top
R12,360,R_0603_1608Metric,147.7396,-112.9284,0.0,top
R13,MF11-502,TRES_MF52-A_CTM,139.6,-115.8,-90.0,top
R14,10K,R_0603_1608Metric,144.59,-112.903,180.0,top
R15,0,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,184.71,-100.15,0.0,top
R16,0,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,184.75,-96.28,180.0,top
R17,0Ω,R_0603_1608Metric,173.777564,-108.691814,180.0,top
R18,10K,R_0603_1608Metric,170.5234,-108.6866,0.0,top
R19,10k,R_0603_1608Metric,139.087713,-86.377412,180.0,top
R2,0Ω,R_0603_1608Metric,165.3,-91.3,-90.0,top
R20,470,R_0603_1608Metric,183.3758,-111.7346,0.0,top
R21,10K,R_0603_1608Metric,139.099201,-83.582215,0.0,top
R3,360,R_0603_1608Metric,180.175,-92.0,90.0,top
R4,0Ω,R_0603_1608Metric,158.425,-96.77,180.0,top
R5,10K,R_0603_1608Metric,155.99,-86.755,-90.0,top
R6,33,R_0603_1608Metric,177.261454,-100.456994,0.0,top
R7,0Ω,R_0603_1608Metric,172.275,-103.75,180.0,top
R8,0Ω,R_0603_1608Metric,160.6,-109.3,90.0,top
R9,0Ω,R_0603_1608Metric,162.2,-98.35,-90.0,top
SW1,SW_Push,SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG,164.25,-116.35,0.0,top
SW2,SW_SPDT_321,SW_SPDT_Shouhan_MSK12C02,186.05,-106.0,90.0,top
SW3,SW_Push,SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG,181.825,-116.25,0.0,top
SW4,SW_Reed,R_Axial_DIN0614_L14.3mm_D5.7mm_P20.32mm_Horizontal,139.575,-100.16,90.0,top
U1,ESP32-S3,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,150.975,-99.825,0.0,top
U2,AMS1117,SOT-223-3_TabPin2,183.775,-86.1,0.0,top
U3,W25Q128JVSIQ,SOIC127P790X216-8N,164.23,-104.405,0.0,top
U4,USBLC6-2SC6,SOT-23-6,154.8125,-112.175,180.0,top
X1,OSCILADOR-3225,TSX-3225,157.735142,-93.826551,0.0,top
